Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Stella Maris University,,Port Harcourt,Status ungeklärt,H +/-,Nigeria
"Sule Lamido University, JigawaJigawa State University",,Kafin Hausa,State University,H+,Nigeria
Tai Solarin University of Education,,Ijebu-Ode,State University,H+,Nigeria
Tansian University,,Umunya,Privatuniversität,H+,Nigeria
Taraba State University,,Jalingo,State University,H+,Nigeria
The Polytechnic IbadanIbadan Polytechnic,,Ibadan,Einrichtung ohne Hochschulrang,H -,Nigeria
Thomas Adewumi University,,Oko,Privathochschule,H+,Nigeria
Times Journalism Institute,,Lagos,Einrichtung ohne Hochschulrang,H -,Nigeria
Topfaith University,,Mkpatak,Privathochschule,H+,Nigeria
Trinity College of Ministerial Arts,,,Status ungeklärt,H +/-,Nigeria
Umaru Musa Yar'Adua UniversityKatsina State University,,Katsina,State University,H+,Nigeria
University of Abuja,,Abuja,Federal University,H+,Nigeria
University of BeninInstitute of Technology,,Benin City,Federal University,H+,Nigeria
University of Calabar,,Calabar,Federal University,H+,Nigeria
University of Cross River StateCross River University of Technology (bis 2021),,Calabar,State University,H+,Nigeria
"University of IbadanUniversity College, Ibadan",,Ibadan,Federal University,H+,Nigeria
"University of IlorinUniversity College, University of Ibadan",,Ilorin,Federal University,H+,Nigeria
University of IndustryCETEP City University,,Ibadan,Einrichtung ohne Hochschulrang,H -,Nigeria
"University of JosUniversity of Ibadan, Jos Campus",,Jos,Federal University,H+,Nigeria
University of Lagos,,Lagos,Federal University,H+,Nigeria
University of Maiduguri,,Maiduguri,Federal University,H+,Nigeria
"University of Medical Sciences Ondo City, Ondo State",,Ondo,Universität,H+,Nigeria
University of MkarHilltop University,,Mkar,Privatuniversität,H+,Nigeria
University of Nigeria,,Nsukka,Federal University,H+,Nigeria
University Of Offa,,Offa,Privathochschule,H+,Nigeria
"University of Port HarcourtUniversity College, Port Harcourt",,Port Harcourt,Federal University,H+,Nigeria
University of UyoUniversity of Cross River State,,Uyo,Federal University,H+,Nigeria
Usmanu Danfodiyo UniversityUniversity of SokotoUsman Danfodio,,Sokoto,Federal University,H+,Nigeria
Veritas University,,Abuja,Privatuniversität,H+,Nigeria
Waziri Umaru Federal PolytechnicWaziri Umaru Polytechnic,,Birnin Kebbi,Polytechnic,H -,Nigeria
Wellspring University,,Evbuobanosa,Privatuniversität,H+,Nigeria
Wesley University of Science and Technology,,Ondo,Privatuniversität,H+,Nigeria
Western Delta University,,Oghara,Privatuniversität,H+,Nigeria
Wukari Jubilee University,,Wukari,Privathochschule,H+,Nigeria
Yaba College of Technology,,,Polytechnic,H -,Nigeria
Yobe State University DamaturuBukar Abba Ibrahim University,,Damaturu,State University,H+,Nigeria
"Yusuf Maitama Sule University, KanoNorthwest University",,Kano,State University,H+,Nigeria
