Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Scott Christian UniversityScott Theological College (1962-1997),,Machakos,Akkreditierte private Universität,H+,Kenia
South Eastern Kenya UniversityUkamba Agricultural Institute (1976-2008)South Eastern University College (2008-2013),,Kitui,Staatliche Universität,H+,Kenia
St. Paul's UniversitySt. Paul's Divinity School (1903-1955)St. Paul's United Theological College (1955-2007),,Limuru,Akkreditierte private Universität,H+,Kenia
Strathmore UniversityStrathmore College (1961-2002)Kianda College (1961-1993),,Nairobi,Akkreditierte private Universität,H+,Kenia
Taita Taveta UniversityTaita Taveta University College,,Voi,Staatliche Universität,H+,Kenia
Tangaza University CollegeTangaza College,,Nairobi,An private Universität angeschlossenes College,H +/-,Kenia
Technical University of KenyaKenya Technical Institute (1961)Kenya Polytechnic (1961-2007)Kenya Polytechnic University College (2007-2013),,Nairobi,Staatliche Universität,H+,Kenia
Technical University of MombasaMombasa Institute of Muslim Education (1948-1966)Mombasa Technical Institute (1966-1976)Mombasa Polytechnic (1976-2007)Mombasa Polytechnic University College (2007-2013),,Mombasa,Staatliche Universität,H+,Kenia
"The Aga Khan Academy, MombasaThe Aga Khan AcademyAga Khan AcademyAga Khan Academy, Mombasa",,Mombasa,Einrichtung ohne Hochschulrang,H -,Kenia
The Co-Operative University of KenyaCo-Operative University College of KenyaThe Cooperative University College of KenyaCooperative University College of KenyaThe Co-Operative University College of Kenya,,Nairobi,Staatliche Universität,H+,Kenia
The East African UniversityEast African University,,Nairobi,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
The Presbyterian University of East Africa,,Kikuyu,Akkreditierte private Universität,H+,Kenia
Umma University,,Kajiado,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
United States International UniversityAlliant International University - NairobiUnited States International University - Africa,,Nairobi,Akkreditierte private Universität,H+,Kenia
"University of Eastern Africa, Baraton",,Eldoret,Akkreditierte private Universität,H+,Kenia
University of EldoretMoi Teachers? Training College (1984-1990)Moi University Chepkoilel Campus (1990-2010)Chepkoilel University College (2010-2013),,Eldoret,Staatliche Universität,H+,Kenia
University of EmbuEmbu Agricultural Staff Training College (1990-2011)Embu Institute of Agriculture (1968-1990)Embu University College,,Embu,Staatliche Universität,H+,Kenia
University of KabiangaKabianga Farmers Training Centre (1959-2007)Kabianga Campus of Moi University (2007-2013)Kabianga Teachers? Training College (1929-1963)Kabianga University College (2009-2013),,Kericho,Staatliche Universität,H+,Kenia
University of NairobiRoyal Technical College of Eastern Africa (1956-1961)University College Nairobi (1964-1970)Royal College Nairobi (1961-1964)Kenya Science Teachers College (1965-2007),,Nairobi,Staatliche Universität,H+,Kenia
Uzima University College,,Kisumu,An private Universität angeschlossenes College,H +/-,Kenia
Wiseman CollegeWiseman Training & Consultants,,Nairobi,Einrichtung ohne Hochschulrang,H -,Kenia
Zetech UniversityZetech College (1999-2014),,Nairobi,Akkreditierte private Universität,H+,Kenia
